FlightDate,DayOfWeek,WeekOfYear,DaysToFlight,Class,AvailableCapacity,CASKValue,TargetRevenue,IsHoliday,priceCompetitor2,priceCompetitor2,priceCompetitor3,Price
42901,5,24,44,82,307,0.013905059,-283,0,12.99,35,22.45,24.36610517
42901,5,24,43,82,306,0.013905059,-283,0,12.99,35,22.45,24.36610517
42901,5,24,42,82,305,0.013905059,-283,0,12.99,35,0,24.36610517
42901,5,24,35,82,291,0.013905059,-283,0,12.97,0,22.17,24.36610517
42901,5,24,30,82,285,0.013905059,-283,0,13.06,58,22.23,24.36610517
42901,5,24,25,82,280,0.013905059,-283,0,12.97,58,22.07,23.97763827
42901,5,24,11,79,260,0.013905059,-283,0,13,58,21.2,26.09088509
42901,5,24,7,79,250,0.013905059,-283,0,13,58,21.2,29.57520138
42901,5,24,4,79,224,0.013905059,-283,0,13.24,58,21.13,32.9743736
42901,5,24,2,79,201,0.013905059,-283,0,13.24,58,21.13,35.65676137
42902,6,24,44,82,180,0.02371585,-283,0,12.97,35,22.56,33.68406321
42902,6,24,41,82,171,0.02371585,-283,0,13.02,35,22.17,31.44538009
42902,6,24,37,82,160,0.02371585,-283,0,13.02,35,22.17,29.50931435
42902,6,24,11,88,133,0.02371585,-283,0,13,58,21.13,29.69590931
42902,6,24,8,88,125,0.02371585,-283,0,13,58,21.13,30.43404942
42902,6,24,7,79,120,0.02371585,-283,0,13,58,21.13,32.78809739
42902,6,24,4,88,105,0.02371585,-283,0,13.31,58,21.19,35.96556995
42902,6,24,3,88,92,0.02371585,-283,0,13.31,58,21.19,39.77496526
42902,6,24,2,88,84,0.02371585,-283,0,13.31,58,21.19,40.88399741
42902,6,24,1,88,76,0.02371585,-283,0,13.31,58,21.19,42.24954512
42903,7,24,44,82,175,0.02371585,-283,0,12.97,58,22.42,38.34205531
42903,7,24,42,82,170,0.02371585,-283,0,12.97,58,22.42,33.95702672
42903,7,24,39,82,167,0.02371585,-283,0,13.02,58,22.17,28.30010742
42903,7,24,35,79,159,0.02371585,-283,0,13.02,58,22.17,25.7757487
42903,7,24,10,88,144,0.02371585,-283,0,13.07,115,21.13,23.94240724
42903,7,24,9,88,139,0.02371585,-283,0,13.07,115,21.13,30.01866273
42903,7,24,8,71,132,0.02371585,-283,0,13.07,115,21.13,36.31711705
42903,7,24,3,71,100,0.02371585,-283,0,13.28,115,46.63,43.36454247
42903,7,24,2,71,83,0.02371585,-283,0,13.28,115,46.63,48.96255211
42903,7,24,1,85,74,0.02371585,-283,0,13.28,115,46.63,53.8836884
42903,7,24,0,85,52,0.02371585,-283,0,0,0,0,57.90769496
42903,7,24,0,71,44,0.02371585,-283,0,0,0,0,59.04482445
42904,1,25,45,82,176,0.02371585,-283,0,12.99,63,22.51,52.75591103
42904,1,25,37,88,138,0.02371585,-283,0,13.02,120,22.17,50.34199644
42904,1,25,35,88,135,0.02371585,-283,0,13.02,120,0,46.93898109
42904,1,25,34,88,125,0.02371585,-283,0,12.97,125,22.38,44.63599294
42904,1,25,31,88,122,0.02371585,-283,0,12.97,125,22.38,43.75633585
42904,1,25,22,71,117,0.02371585,-283,0,13.12,158,22.35,52.5010519
42904,1,25,13,69,107,0.02371585,-283,0,13.12,190,40.87,58.52519325
42904,1,25,13,85,106,0.02371585,-283,0,13.12,190,40.87,64.04667607
42904,1,25,12,69,102,0.02371585,-283,0,13.12,190,40.87,68.45465936
42904,1,25,12,80,99,0.02371585,-283,0,13.12,190,40.87,75.27958625
42904,1,25,10,86,91,0.02371585,-283,0,13.12,190,40.87,79.64115944
